Nodo,PageRank,Percentuale (%)
1,0.1031,10.31
0,0.0939,9.39
2,0.075,7.5
45,0.0604,6.04
80,0.0562,5.62
55,0.0489,4.89
25,0.0373,3.73
10,0.0292,2.92
15,0.0282,2.82
95,0.0239,2.39
46,0.0186,1.86
20,0.0186,1.86
65,0.0165,1.65
56,0.0154,1.54
3,0.0148,1.48
90,0.0122,1.22
26,0.0121,1.21
96,0.0117,1.17
81,0.0111,1.11
16,0.0095,0.95
47,0.0094,0.94
66,0.0085,0.85
57,0.008,0.8
11,0.0077,0.77
50,0.0069,0.69
99,0.0068,0.68
27,0.0066,0.66
97,0.0065,0.65
82,0.0062,0.62
30,0.0061,0.61
67,0.0058,0.58
4,0.0057,0.57
17,0.0055,0.55
48,0.0055,0.55
91,0.0049,0.49
58,0.0049,0.49
12,0.0048,0.48
34,0.0047,0.47
21,0.0047,0.47
36,0.0045,0.45
28,0.0043,0.43
98,0.0042,0.42
83,0.0041,0.41
31,0.0041,0.41
5,0.0039,0.39
18,0.0039,0.39
49,0.0038,0.38
85,0.0036,0.36
92,0.0036,0.36
59,0.0036,0.36
13,0.0035,0.35
35,0.0035,0.35
22,0.0035,0.35
37,0.0034,0.34
29,0.0033,0.33
84,0.0033,0.33
32,0.0032,0.32
6,0.0032,0.32
68,0.0031,0.31
19,0.0031,0.31
86,0.003,0.3
93,0.003,0.3
60,0.003,0.3
14,0.003,0.3
23,0.003,0.3
51,0.003,0.3
38,0.0029,0.29
33,0.0029,0.29
7,0.0028,0.28
69,0.0028,0.28
87,0.0028,0.28
94,0.0028,0.28
61,0.0028,0.28
24,0.0028,0.28
52,0.0028,0.28
39,0.0028,0.28
8,0.0027,0.27
70,0.0027,0.27
88,0.0027,0.27
62,0.0027,0.27
53,0.0027,0.27
40,0.0027,0.27
9,0.0027,0.27
89,0.0026,0.26
63,0.0026,0.26
54,0.0026,0.26
64,0.0026,0.26
75,0.0026,0.26
74,0.0026,0.26
79,0.0026,0.26
44,0.0026,0.26
73,0.0025,0.25
78,0.0025,0.25
43,0.0025,0.25
72,0.0025,0.25
77,0.0025,0.25
42,0.0024,0.24
71,0.0023,0.23
76,0.0022,0.22
41,0.0021,0.21
