Nodo,PageRank,Percentuale (%)
0,0.0906,9.06
2,0.0896,8.96
1,0.0866,8.66
10,0.0602,6.02
85,0.0602,6.02
35,0.0602,6.02
60,0.0602,6.02
12,0.0153,1.53
87,0.0153,1.53
37,0.0153,1.53
62,0.0153,1.53
11,0.0127,1.27
86,0.0127,1.27
36,0.0127,1.27
61,0.0127,1.27
13,0.0094,0.94
88,0.0094,0.94
38,0.0094,0.94
63,0.0094,0.94
14,0.0085,0.85
89,0.0085,0.85
39,0.0085,0.85
64,0.0085,0.85
15,0.0066,0.66
90,0.0066,0.66
40,0.0066,0.66
65,0.0066,0.66
16,0.0058,0.58
91,0.0058,0.58
41,0.0058,0.58
66,0.0058,0.58
17,0.005,0.5
92,0.005,0.5
42,0.005,0.5
67,0.005,0.5
18,0.0046,0.46
93,0.0046,0.46
43,0.0046,0.46
68,0.0046,0.46
19,0.0042,0.42
94,0.0042,0.42
44,0.0042,0.42
69,0.0042,0.42
20,0.004,0.4
95,0.004,0.4
45,0.004,0.4
70,0.004,0.4
21,0.0038,0.38
96,0.0038,0.38
46,0.0038,0.38
71,0.0038,0.38
22,0.0037,0.37
97,0.0037,0.37
47,0.0037,0.37
72,0.0037,0.37
23,0.0036,0.36
98,0.0036,0.36
48,0.0036,0.36
73,0.0036,0.36
24,0.0036,0.36
99,0.0036,0.36
49,0.0036,0.36
74,0.0036,0.36
25,0.0035,0.35
76,0.0035,0.35
50,0.0035,0.35
75,0.0035,0.35
3,0.0035,0.35
77,0.0035,0.35
26,0.0035,0.35
51,0.0035,0.35
4,0.0035,0.35
78,0.0035,0.35
27,0.0035,0.35
52,0.0035,0.35
5,0.0035,0.35
79,0.0035,0.35
28,0.0035,0.35
53,0.0035,0.35
6,0.0035,0.35
80,0.0035,0.35
29,0.0035,0.35
54,0.0035,0.35
7,0.0035,0.35
81,0.0035,0.35
30,0.0035,0.35
55,0.0035,0.35
8,0.0035,0.35
82,0.0035,0.35
31,0.0035,0.35
56,0.0035,0.35
9,0.0035,0.35
83,0.0035,0.35
32,0.0035,0.35
57,0.0035,0.35
84,0.0035,0.35
33,0.0035,0.35
58,0.0035,0.35
34,0.0035,0.35
59,0.0035,0.35
